3 	 200 	 250 
29	60	62	9.752140241963122
87	93	137	-0.7493474668928037
2	18	28	-9.240642277795459
10	44	193	0.7466015837724953
73	79	179	-2.0539390892282983
17	158	163	-6.8055051578379455
4	14	16	7.276484316611768
84	142	192	3.8803931115622134
33	34	132	2.030572473027606
128	142	166	-8.986680358492919
58	124	169	-6.857388243109224
5	96	185	-8.214916930048908
82	92	102	7.740270231996256
32	94	165	1.7590053304291544
88	119	157	-1.667379331777676
50	69	198	0.7295518142475323
105	111	166	-3.644750286165383
9	75	128	2.127243178676366
7	30	32	7.841490150462814
73	119	196	8.553856448789695
34	107	111	6.38166137789019
42	53	110	-2.756605828836964
30	48	140	1.8536626565305099
7	39	161	-4.947830747491622
79	108	181	-1.1459307986702605
23	124	179	-3.6809707059371055
71	131	183	-0.5396862401439861
60	67	141	2.2692334136581493
21	131	141	-5.903510413341129
13	39	55	3.4454429452134683
39	146	177	4.965195008224395
71	147	154	3.4727583182411372
14	27	144	-6.478769810340578
12	65	140	-8.069191128080398
6	25	93	-7.739574938646257
9	49	193	7.40745646036126
3	88	159	-2.186672668730578
6	12	170	-1.8377859419289848
28	102	130	-7.986112618643242
37	158	200	1.6463256554618528
79	106	183	-2.657013180588157
13	125	146	-7.120622765159563
33	42	169	5.2333897423194955
40	80	123	7.073603890184856
32	167	189	-4.347625809067881
46	107	157	-6.244591773888382
50	138	152	-0.24013882598243086
11	159	173	9.176745131684726
1	156	175	2.278234295017949
38	90	146	-0.6893386163674258
124	140	142	1.0416608092031794
46	95	116	2.556656295245922
11	57	66	4.749714163289806
83	163	167	-6.951483455782668
97	103	163	-6.792918449982861
5	48	90	-1.586606449972841
42	68	179	-2.979632576519302
3	56	57	-8.765953693634465
68	96	196	-6.710410866091435
68	88	141	-2.8018287915381856
70	103	114	3.986749108103613
27	74	108	-5.445406955081189
48	98	99	2.41485740073184
63	65	80	-7.4152900793920455
70	138	181	-8.277240750828883
112	187	198	-4.228123903294854
12	132	166	9.285637414726292
23	26	42	-1.3354243163293749
39	40	168	5.7233041743625215
44	105	164	0.3626225576040909
73	96	148	1.5006345402103136
20	60	62	9.861737395940551
74	107	115	1.7081025479480427
49	81	154	-9.152402673675992
6	166	180	-7.249389743452792
2	67	179	5.922438603240996
115	166	187	-2.345059082544707
54	192	198	-4.0925512044238594
87	168	176	-1.6250869672137664
31	108	130	-4.893992083638348
70	133	150	-0.710862341781846
6	123	196	-3.1370240979907855
6	96	195	1.9946807218825064
